Earnings,NrComps,Prof,Unprof,Workers,FAssets,CAssets,FCAssets,Assets,Equity,Liab,LTLiab,STLiab,SUBLiab,MatExp,PersExp,Dep
-0.147,495,338,157,3.534,3.769,4.152,7.921,8.883,1.636,5.648,0.598,5.01,0.04,12.703,7.353,0.584
6.155,3102,2170,932,9.115,21.764,17.893,39.657,41.263,21.106,18.073,5.226,11.882,0.965,24.26,15.765,4.242
0.93,788,491,297,1.958,4.246,2.319,6.565,6.699,3.257,3.299,1.327,1.843,0.129,3.887,2.281,0.763
1.808,914,537,377,3.811,15.054,8.079,23.133,24.63,7.537,14.049,4.276,9.6,0.173,17.893,7.74,1.493
0.282,214,136,78,0.418,1.78,2.026,3.806,3.816,1.506,2.256,0.337,1.858,0.061,7.266,0.445,0.198
1,134,43,91,2.26,4.107,1.87,5.977,6.055,2.627,2.402,0.477,1.907,0.018,2.894,3.413,0.148
-0.03,138,70,68,4.988,1.845,1.6,3.445,3.578,0.859,1.838,0.25,1.464,0.124,3.354,4.776,0.253
7.323,92,53,39,2.261,118.71,15.928,134.638,137.156,120.828,6.72,0.553,6.155,0.012,9.892,5.862,4.816
5.223,550,339,211,13.282,95.973,42.505,138.478,141.166,68.896,49.079,17.909,30.986,0.184,64.571,29.34,12.384
1.446,81,52,29,2.193,5.937,3.921,9.858,10.371,5.441,3.833,0.854,2.745,0.234,6.776,3.485,0.878
0.022,91,11,80,0.01,0.416,0.207,0.623,0.63,0.094,0.405,0.156,0.249,0,0.12,0.012,0.022
-0.183,108,13,95,0.111,0.61,0.775,1.385,1.402,0.582,0.423,0.021,0.401,0.001,1.143,0.485,0.051
0,37,0,37,0.001,0.019,0.001,0.02,0.02,0,0,0,0,0,0,0.001,0
0,27,0,27,0,0.021,0,0.021,0.021,0,0,0,0,0,0,0,0
0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.033,734,44,690,1.225,4.636,2.053,6.689,6.831,2.771,2.539,0.789,1.648,0.102,2.998,1.519,0.24
0.946,829,454,375,1.192,13.843,18.379,32.222,33.291,12.495,16.358,2.705,13.265,0.388,31.877,1.913,1.699
1.551,111,52,59,0.824,9.31,16.353,25.663,26.294,11.75,10.889,1.773,9.114,0.002,112.577,2.892,1.167
-0.092,32,13,19,0.387,2.663,0.816,3.479,3.555,0.483,2.853,1.725,1.116,0.012,3.828,0.678,0.488
1.174,467,235,232,1.546,29.191,28.625,57.816,64.62,10.892,43.283,11.185,30.999,1.099,61.462,6.193,8.788
0.509,978,569,409,1.699,21.612,5.864,27.476,27.762,16.548,5.354,1.732,3.529,0.093,16.491,4.213,1.61
0.401,300,177,123,0.77,2.961,2.985,5.946,6.085,2.522,2.836,0.663,2.161,0.012,8.568,1.411,0.409
0.054,18,7,11,0.145,0.664,0.168,0.832,0.899,0.566,0.309,0.003,0.291,0.015,0.545,0.316,0.052
-0.07,332,137,195,0.847,2.426,1.605,4.031,4.069,0.952,2.562,0.591,1.831,0.14,4.383,1.133,0.337
0.076,280,164,116,0.325,0.404,0.805,1.209,1.215,0.549,0.656,0.061,0.575,0.02,1.334,0.362,0.123
0.113,38,29,9,0.284,1.016,1.105,2.121,2.175,0.883,0.74,0.021,0.719,0,2.298,0.85,0.108
-0.44,70,33,37,0.768,14.307,4.329,18.636,18.774,1.44,14.7,14.18,0.457,0.063,2.881,1.707,0.395
0.061,22,12,10,0.704,1.098,0.225,1.323,1.328,0.749,0.27,0.05,0.218,0.002,0.555,1.008,0.063
-0.59,228,84,144,0.923,29.926,5.409,35.335,36.724,14.356,17.729,11.107,6.343,0.279,8.295,1.739,0.746
-2.357,908,308,600,1.353,6.757,4.526,11.283,12.074,1.658,9.102,2.553,6.371,0.178,13.903,2.21,1.29
23.147,1256,743,513,5.013,38.49,38.126,76.616,79.089,32.033,44.35,10.293,33.741,0.316,38.473,11.317,7.363
1.05,481,204,277,1.651,14.799,6.272,21.071,21.686,11.278,8.189,2.595,5.284,0.31,8.847,2.071,1.116
-0.048,159,69,90,2.921,6.729,3.908,10.637,10.766,3.97,6.53,1.815,3.785,0.93,6.522,4.201,1.336
-0.47,965,290,675,2.508,4.081,3.062,7.143,7.221,1.259,5.832,1.472,3.976,0.384,6.732,2.019,0.455
0.875,167,116,51,2.476,6.066,3.109,9.175,9.243,5.608,3.056,0.629,2.412,0.015,7.667,4.099,0.609
-0.766,596,138,458,4.009,38.441,4.418,42.859,43.092,24.865,12.02,5.015,6.777,0.228,9.272,5.799,1.978
0.106,285,103,182,0.609,3.987,1.472,5.459,5.514,3.524,1.872,0.722,1.145,0.005,3.273,0.76,0.327
-0.002,3,0,3,0.002,0.001,0.003,0.004,0.004,-0.001,0.005,0,0.003,0.002,0.008,0.001,0.001
